uit,vit,plit
-0.2289181068234675,0.0007046190419799673,0.002783843650730311
-0.2368618087289144,-8.037361012690571e-05,0.002299990311893827
-0.24197747299915862,-0.00010888768488582357,0.0007462790596930342
-0.24482565121146668,-9.317312938639257e-05,-0.00025031247714783414
-0.2463748301455228,-0.00012213782046011041,-0.0005990929905141103
-0.24713103627198407,-0.00014170556823250234,-0.0006149844864892473
-0.24736121236931735,-0.0001245966076280091,-0.000537981264112933
-0.24723972092822094,-7.099391507246374e-05,-0.00046845560786128545
-0.2469069141891578,4.22687218730206e-06,-0.0004236468540921845
-0.2464787124315815,8.564717292141966e-05,-0.0003933758750574981
-0.2460470551757676,0.00015945744052627854,-0.0003671645165713214
-0.24567563931231368,0.00021711159596593857,-0.00034068011222890596
-0.24540069465982495,0.00025412182872102345,-0.0003138343327189402
-0.2452334453982418,0.00027051784477602096,-0.00028788996530368935
-0.24516627046382383,0.00026905824495382076,-0.0002638694213489828
-0.24517899783496744,0.0002545769964086669,-0.00024217220920107386
-0.24524571731336123,0.00023241869398424084,-0.00022273527800345302
-0.2453400618469764,0.0002077640340011531,-0.0002052836543086236
-0.24543930414770992,0.0001847440978350809,-0.00018949853519953052
-0.24552654105222985,0.0001662326113928013,-0.00017509441299450322
-0.24559154110042572,0.0001536625221444179,-0.00016184189268107814
-0.24563027148108632,0.00014725682595165374,-0.0001495680202969244
-0.245643732131393,0.0001462650226881128,-0.00013814940817346406
-0.24563633810444022,0.00014936204709942847,-0.0001275031764909407
-0.2456143093365302,0.00015496847802088292,-0.00011757685339838683
-0.24558423298004087,0.00016156653450307616,-0.00010833795812360785
-0.2455520068255249,0.0001678931141288465,-9.976432777047057e-05
-0.24552217263181997,0.0001730667324198821,-9.183622587725582e-05
-0.24549764966079374,0.00017660875239063455,-8.453090315199623e-05
-0.24547977340946997,0.0001784114530657547,-7.781973118182642e-05
-0.2454685593224167,0.00017865165029442944,-7.166759933894691e-05
-0.24546307855611837,0.00017769155695428716,-6.603398237178599e-05
-0.2454618657912193,0.00017597435961881,-6.0875006050522194e-05
-0.24546328540564835,0.00017393889102213916,-5.614587658671056e-05
-0.2454658183734544,0.0001719553633448965,-5.1803174941467466e-05
-0.245468248323284,0.00017028998212801377,-4.780667944541496e-05
-0.24546975067329507,0.0001690930535031901,-4.412055085376784e-05
-0.24546989842957834,0.0001684081430444426,-4.071385566759733e-05
-0.24546860885028127,0.00016819380323897912,-3.7560511598473356e-05
-0.24546605507204342,0.0001683524090697726,-3.463880172763532e-05
-0.24546256620327178,0.0001687591757896961,-3.193062878558509e-05
-0.24545853337905554,0.00016928762578782096,-2.9420672086436857e-05
-0.24545433401602887,0.0001698283089116222,-2.709557997423101e-05
-0.24545027984884046,0.0001703001434758803,-2.4943288945958046e-05
-0.24544658960164212,0.0001706544821788402,-2.2952517665073147e-05
-0.24544338306525396,0.0001708734205630526,-2.11124458027123e-05
-0.245440691345885,0.00017096403115841248,-1.9412558977714708e-05
-0.24543847707567046,0.00017095054621220755,-1.7842623067084366e-05
-0.24543665881045582,0.00017086612549756147,-1.6392743743863203e-05
-0.2454351348275808,0.00017074556747297137,-1.5053468105743046e-05
