uexata,vexata
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
-0.0013634739490919437,0.0013012406983035146
-0.010045185624942686,0.0028255512306019173
-0.022338093610406562,0.003160155981594249
-0.03408684872729859,0.0026024813966070287
-0.042323344419772375,0.0014499539209667743
-0.04526671675432006,0.0
-0.0423233444197724,-0.0014499539209667726
-0.03408684872729857,-0.002602481396607023
-0.022338093610406496,-0.003160155981594248
-0.010045185624942625,-0.002825551230601911
-0.0013634739490919591,-0.0013012406983035226
0.0,0.0
0.0,0.0
-0.003954640209191986,0.011517192516040423
-0.029135206439149117,0.02500876089197349
-0.06478974038868957,0.027970324681812448
-0.09886600522979964,0.02303438503208084
-0.12275526037104104,0.012833443089302194
-0.1312922614575507,0.0
-0.12275526037104112,-0.012833443089302178
-0.09886600522979959,-0.02303438503208079
-0.06478974038868938,-0.02797032468181244
-0.029135206439148936,-0.02500876089197343
-0.003954640209192031,-0.011517192516040492
0.0,0.0
0.0,0.0
-0.006138461555040494,0.030914569385161145
-0.04522417594631873,0.06712877923634991
-0.10056776583938225,0.07507823993539134
-0.15346153887601235,0.06182913877032228
-0.19054285765748144,0.034447663029179586
-0.203794139744553,0.0
-0.19054285765748158,-0.034447663029179544
-0.15346153887601224,-0.061829138770322145
-0.10056776583938196,-0.07507823993539131
-0.04522417594631846,-0.06712877923634976
-0.0061384615550405626,-0.030914569385161336
0.0,0.0
0.0,0.0
-0.007643374710469776,0.05742431777295945
-0.05631139327509365,0.12469280430699767
-0.12522308907742433,0.13945905744861578
-0.1910843677617444,0.11484863554591888
-0.23725659050254141,0.063987096947012
-0.2537565740045079,0.0
-0.23725659050254158,-0.06398709694701192
-0.19108436776174428,-0.11484863554591863
-0.12522308907742397,-0.13945905744861575
-0.056311393275093304,-0.12469280430699738
-0.007643374710469861,-0.0574243177729598
0.0,0.0
0.0,0.0
-0.008197816399312144,0.08794285738037605
-0.06039615755411599,0.19096163316881656
-0.13430662921775563,0.21357551078091322
-0.20494540998280358,0.17588571476075207
-0.2544669131296688,0.09799346965241909
-0.27216378662659657,0.0
-0.25446691312966896,-0.09799346965241897
-0.20494540998280347,-0.17588571476075168
-0.13430662921775524,-0.21357551078091316
-0.06039615755411561,-0.19096163316881612
-0.008197816399312234,-0.08794285738037659
0.0,0.0
0.0,0.0
-0.007530223345399905,0.1183320811419985
-0.05547776791202786,0.25694966190833957
-0.1233693053753159,0.28737791134485347
-0.18825558363499761,0.23666416228399695
-0.23374427976231132,0.131855747558227
-0.25,0.0
-0.2337442797623115,-0.13185574755822682
-0.1882555836349975,-0.23666416228399645
-0.12336930537531554,-0.28737791134485335
-0.05547776791202752,-0.256949661908339
-0.007530223345399989,-0.11833208114199922
0.0,0.0
0.0,0.0
-0.005369032272565371,0.1434193552260613
-0.0395555234774714,0.3114248856337331
-0.0879620366650449,0.3483041484061488
-0.13422580681413426,0.28683871045212256
-0.1666591446239169,0.15981013868046842
-0.1782494365138993,0.0
-0.16665914462391704,-0.1598101386804682
-0.13422580681413418,-0.28683871045212195
-0.08796203666504465,-0.3483041484061487
-0.039555523477471155,-0.3114248856337324
-0.0053690322725654304,-0.14341935522606217
0.0,0.0
0.0,0.0
-0.0014426799046408493,0.15699751903444578
-0.010628723379088705,0.34090889847479655
-0.023635742201882394,0.38127968908365395
-0.03606699761602123,0.3139950380688915
-0.044781961937933296,0.17494009263838256
-0.04789631855747545,0.0
-0.04478196193793333,-0.17494009263838234
-0.03606699761602121,-0.31399503806889084
-0.023635742201882325,-0.38127968908365384
-0.010628723379088639,-0.3409088984747958
-0.0014426799046408654,-0.15699751903444675
0.0,0.0
0.0,0.0
0.004520397034541339,0.15182488520268028
0.03330333325447802,0.32967689358296287
0.07405865889923169,0.3687175783493663
0.11300992586353346,0.3036497704053605
0.14031681407219135,0.16917630065441527
0.1500751314800901,0.0
0.14031681407219146,-0.16917630065441505
0.1130099258635334,-0.30364977040535984
0.07405865889923147,-0.3687175783493662
0.03330333325447782,-0.32967689358296215
0.0045203970345413895,-0.1518248852026812
0.0,0.0
0.0,0.0
0.012791761821148903,0.11962523959993987
0.09424134729458679,0.259757663131298
0.20957024752335787,0.29051843902842533
0.31979404552872254,0.2392504791998797
0.3970667291830098,0.1332966955542188
0.42468069120961693,0.0
0.39706672918301006,-0.13329669555421864
0.31979404552872237,-0.2392504791998792
0.20957024752335726,-0.2905184390284253
0.09424134729458622,-0.25975766313129744
0.012791761821149045,-0.1196252395999406
0.0,0.0
0.0,0.0
0.023642977731349518,0.051087841329046695
0.1741860196125954,0.1109335983145014
0.3873481045555562,0.12407047179911339
0.5910744432837379,0.10217568265809338
0.7338973291710739,0.05692645176665207
0.7849361382419235,0.0
0.7338973291710743,-0.056926451766652
0.5910744432837376,-0.10217568265809315
0.387348104555555,-0.12407047179911335
0.17418601961259433,-0.11093359831450114
0.023642977731349782,-0.051087841329047014
0.0,0.0
0.0,0.0
0.03012089338159962,0.0
0.22191107164811144,0.0
0.4934772215012636,0.0
0.7530223345399905,0.0
0.9349771190492453,0.0
1.0,0.0
0.934977119049246,0.0
0.75302233453999,0.0
0.49347722150126216,0.0
0.22191107164811008,0.0
0.030120893381599956,0.0
0.0,0.0
